Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation,Relationship,Gender,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry,Income
27.0, Private,301302.0, Bachelors,13.0, Never-married, Craft-repair, Not-in-family, Male,0.0,0.0,50.0, United-States,0.0
23.0, Private,119838.0, Bachelors,13.0, Never-married, Prof-specialty,, Male,0.0,0.0,, United-States,0.0
21.0, Private,113106.0, Some-college,10.0, Never-married,, Own-child, Female,,0.0,30.0, United-States,0.0
21.0, Private,250939.0, Some-college,10.0, Never-married, Machine-op-inspct, Other-relative, Male,0.0,0.0,35.0, United-States,0.0
32.0, Private,155151.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,55.0, United-States,0.0
,,262446.0, 11th,7.0, Married-civ-spouse, Other-service,, Male,0.0,0.0,, United-States,0.0
64.0, Private,270333.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband,,0.0,0.0,40.0, United-States,1.0
40.0, Private,164647.0, Some-college,10.0, Divorced, Prof-specialty, Unmarried, Female,0.0,,38.0, United-States,0.0
19.0, ?,52114.0, Some-college,10.0, Never-married, ?, Own-child, Female,0.0,0.0,10.0, United-States,0.0
44.0, Private,110908.0, Assoc-voc,11.0, Married-civ-spouse, Transport-moving,,,0.0,0.0,25.0, United-States,0.0
35.0, Self-emp-inc,200352.0, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, Male,0.0,0.0,45.0, United-States,1.0
18.0, Private,89760.0, 12th,8.0, Never-married, Other-service,, Female,0.0,0.0,20.0, United-States,0.0
29.0, Private,292120.0, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, Female,0.0,0.0,30.0, United-States,0.0
27.0, Private,36851.0, Assoc-voc,, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,35.0, United-States,0.0
54.0, Private,24108.0, Some-college,10.0, Separated, Exec-managerial, Not-in-family, Female,0.0,0.0,40.0, United-States,0.0
48.0, Self-emp-not-inc,191389.0, Some-college,10.0, Separated, Sales, Unmarried, Female,0.0,0.0,50.0, United-States,0.0
18.0, Private,170544.0, 11th,7.0, Never-married, Sales, Own-child, Male,0.0,0.0,, United-States,0.0
24.0, Local-gov,174413.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, Female,0.0,1974.0,40.0, United-States,0.0
54.0, Private,28518.0,,9.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,50.0, United-States,0.0
49.0, Self-emp-not-inc,, 7th-8th,4.0, Married-civ-spouse, Other-service, Husband, Male,0.0,0.0,70.0, Italy,0.0
24.0, Private,162312.0, HS-grad,9.0, Never-married, Sales, Own-child, Male,0.0,0.0,40.0, South,0.0
, Private,175398.0,,, Divorced, Prof-specialty, Not-in-family, Female,,0.0,20.0, United-States,0.0
28.0, Self-emp-not-inc,192838.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,45.0, United-States,0.0
60.0, Federal-gov,608441.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, Male,0.0,0.0,40.0, United-States,0.0
48.0, Private,250648.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,35.0, United-States,1.0
20.0, ?,201490.0, Some-college,10.0, Never-married, ?, Own-child, Male,0.0,0.0,40.0, United-States,0.0
45.0, Private,206947.0,,9.0, Divorced, Adm-clerical, Not-in-family,,0.0,0.0,50.0, United-States,0.0
38.0, Self-emp-not-inc,214008.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,, United-States,0.0
57.0, Self-emp-inc,84231.0, Masters,14.0, Married-civ-spouse, Sales, Husband, Male,0.0,1977.0,50.0, United-States,1.0
28.0, Private,129460.0, 10th,, Widowed, Adm-clerical, Unmarried, Female,0.0,2238.0,, United-States,0.0
39.0, Private,90646.0, Assoc-voc,11.0, Divorced, Adm-clerical, Unmarried,,0.0,0.0,40.0, United-States,0.0
19.0,,354104.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, Male,,0.0,30.0, United-States,0.0
64.0, ?,64101.0, 12th,8.0, Married-civ-spouse, ?,, Male,0.0,0.0,24.0, United-States,0.0
57.0, Private,118993.0, 9th,5.0, Married-civ-spouse, Transport-moving, Other-relative, Female,0.0,0.0,40.0, ?,0.0
, Private,226267.0, Some-college,10.0, Married-civ-spouse,, Husband, Male,0.0,0.0,40.0, Mexico,0.0
25.0, Private,152046.0, Bachelors,13.0, Never-married, Prof-specialty, Own-child, Female,0.0,0.0,40.0, Guatemala,0.0
35.0, Private,119098.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband,,0.0,,40.0, United-States,1.0
20.0, Private,47039.0, Some-college,10.0, Never-married, Craft-repair, Own-child, Male,0.0,0.0,40.0, United-States,0.0
51.0, Local-gov,230767.0, Assoc-acdm,12.0, Never-married, Adm-clerical, Not-in-family, Male,0.0,0.0,38.0, Cuba,0.0
37.0, Private,112512.0, Assoc-voc,11.0, Never-married, Prof-specialty, Not-in-family, Female,0.0,0.0,48.0, United-States,0.0
51.0, Private,, Assoc-voc,11.0, Divorced, Adm-clerical, Unmarried, Female,,0.0,38.0,,0.0
25.0, Private,, HS-grad,, Never-married, Adm-clerical, Unmarried, Female,0.0,0.0,46.0,,0.0
44.0, Self-emp-not-inc,110028.0, Some-college,10.0, Divorced, Machine-op-inspct, Not-in-family, Male,0.0,0.0,40.0, United-States,0.0
30.0, Private,330802.0, HS-grad,9.0, Never-married, Adm-clerical, Own-child, Female,0.0,0.0,40.0, United-States,0.0
51.0, Private,, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Male,7298.0,0.0,40.0,,1.0
28.0, Private,142712.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,1902.0,57.0, United-States,1.0
74.0, State-gov,193602.0, Some-college,10.0, Widowed, Exec-managerial, Not-in-family, Male,15831.0,0.0,40.0, United-States,0.0
35.0, Private,111128.0, 10th,, Never-married,, Own-child, Male,0.0,0.0,40.0, United-States,0.0
19.0, Private,281704.0, Some-college,10.0, Never-married, Other-service,, Male,0.0,0.0,35.0, United-States,0.0
34.0, Private,185216.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,40.0, United-States,1.0
41.0, Self-emp-not-inc,51494.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States,0.0
37.0, Private,119098.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,50.0, United-States,1.0
85.0, Self-emp-inc,155981.0, Bachelors,13.0, Widowed, Exec-managerial, Not-in-family, Male,0.0,0.0,40.0, United-States,0.0
33.0, State-gov,156015.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Male,,0.0,40.0, United-States,1.0
32.0, Private,256362.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States,0.0
32.0, Private,185820.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, Female,0.0,0.0,40.0, United-States,0.0
28.0, Private,247445.0,,9.0, Never-married,, Not-in-family, Male,0.0,0.0,40.0, United-States,0.0
44.0, Private,277488.0, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, Male,,0.0,40.0, United-States,0.0
46.0, Self-emp-not-inc,353012.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,,50.0,,1.0
23.0, Private,120773.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, Female,0.0,0.0,, United-States,0.0
, Private,303867.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,,,40.0, United-States,1.0
44.0, Private,92649.0, HS-grad,, Married-civ-spouse, Craft-repair, Wife, Female,0.0,0.0,40.0, United-States,0.0
20.0, Private,245297.0, Some-college,, Never-married, Other-service,, Female,0.0,0.0,20.0,,0.0
, ?,51795.0, HS-grad,9.0, Divorced, ?, Unmarried, Female,,0.0,32.0, United-States,0.0
32.0, Local-gov,393376.0, Bachelors,13.0, Never-married, Protective-serv, Not-in-family, Female,0.0,0.0,48.0, United-States,0.0
22.0,,50163.0, 9th,5.0, Never-married, Transport-moving, Own-child,,0.0,0.0,40.0, United-States,0.0
, Private,346253.0,,9.0, Divorced, Sales, Own-child, Female,,0.0,35.0, United-States,0.0
47.0, State-gov,167281.0, Bachelors,13.0, Married-civ-spouse, Other-service, Husband, Male,0.0,0.0,, United-States,0.0
35.0, Private,255191.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,45.0, United-States,1.0
25.0, Private,165866.0, Assoc-voc,11.0, Never-married, Farming-fishing, Not-in-family, Male,0.0,0.0,20.0, United-States,0.0
22.0, Private,100235.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, Male,0.0,0.0,40.0, United-States,0.0
21.0, Private,61777.0, Some-college,10.0,, Craft-repair, Not-in-family,,0.0,0.0,70.0, United-States,0.0
32.0, Local-gov,159187.0, Bachelors,13.0,, Prof-specialty, Not-in-family, Male,0.0,0.0,35.0, United-States,0.0
29.0,,130045.0, 7th-8th,4.0,, Other-service, Wife, Female,0.0,0.0,, United-States,0.0
37.0, Private,34378.0, 7th-8th,,, Farming-fishing, Husband, Male,2580.0,0.0,60.0, United-States,0.0
57.0, Private,159319.0, Masters,14.0, Married-civ-spouse,, Husband, Male,0.0,0.0,50.0, United-States,1.0
41.0, Private,109762.0, HS-grad,9.0, Divorced, Transport-moving, Not-in-family, Male,0.0,0.0,45.0, United-States,0.0
, Private,223660.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,55.0, United-States,1.0
25.0, Private,211531.0, 12th,8.0, Never-married, Other-service, Not-in-family, Male,0.0,0.0,40.0, United-States,0.0
55.0,,138594.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial,, Male,,1977.0,45.0, United-States,1.0
41.0, Private,135056.0, Masters,14.0, Widowed, Prof-specialty, Not-in-family, Female,10520.0,0.0,38.0, United-States,0.0
47.0, Private,199058.0, Bachelors,13.0, Married-civ-spouse,, Husband, Male,0.0,0.0,60.0, United-States,1.0
45.0, Private,259323.0,,10.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States,0.0
40.0, Private,, HS-grad,9.0, Never-married,, Not-in-family, Male,0.0,0.0,40.0, United-States,0.0
, Private,280093.0, Some-college,10.0, Never-married, Handlers-cleaners,, Male,0.0,0.0,40.0, United-States,0.0
23.0, Private,607118.0, HS-grad,9.0, Never-married, Other-service, Own-child, Male,0.0,0.0,36.0, United-States,0.0
56.0, Private,177271.0, Assoc-voc,11.0, Married-civ-spouse, Tech-support, Husband, Male,0.0,0.0,40.0, United-States,1.0
39.0, Private,336880.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, Male,0.0,0.0,40.0, United-States,0.0
23.0, Private,306309.0, 10th,6.0, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,0.0,40.0, United-States,0.0
39.0, Self-emp-inc,142149.0, Assoc-acdm,12.0, Married-civ-spouse, Exec-managerial, Wife, Female,0.0,0.0,20.0, United-States,1.0
31.0,,180551.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, Female,0.0,0.0,40.0,,0.0
39.0,,170382.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Wife, Female,0.0,0.0,50.0, England,1.0
64.0, Federal-gov,113570.0, Assoc-acdm,12.0, Married-civ-spouse, Protective-serv, Husband, Male,0.0,0.0,40.0, United-States,1.0
42.0, Self-emp-inc,212894.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,60.0, United-States,1.0
55.0, Private,305759.0, HS-grad,, Divorced, Other-service, Not-in-family, Male,0.0,0.0,40.0, ?,0.0
35.0, Private,241153.0, Assoc-voc,, Never-married, Tech-support, Not-in-family, Male,0.0,0.0,, United-States,0.0
24.0, Private,345066.0, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, Female,0.0,0.0,50.0, United-States,0.0
40.0, Self-emp-inc,76625.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, Male,0.0,0.0,40.0, United-States,0.0
22.0, Private,, Some-college,10.0, Never-married, Prof-specialty, Not-in-family, Male,0.0,0.0,12.0, United-States,0.0
31.0, Private,87054.0,,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,50.0, United-States,0.0
37.0, ?,122265.0, HS-grad,9.0, Divorced, ?, Not-in-family,,0.0,0.0,42.0, ?,0.0
30.0,,291951.0, HS-grad,9.0, Married-civ-spouse, Craft-repair,, Male,0.0,0.0,40.0, United-States,0.0
44.0, Private,378251.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, Female,,0.0,38.0, United-States,1.0
25.0, Private,238605.0, HS-grad,9.0, Never-married, Sales, Own-child, Female,0.0,0.0,25.0, United-States,0.0
17.0, Private,147069.0, 11th,7.0, Never-married, Other-service, Own-child, Female,0.0,0.0,16.0, United-States,0.0
48.0, Private,125120.0, Some-college,10.0, Divorced, Adm-clerical, Unmarried, Female,0.0,0.0,55.0, United-States,0.0
44.0, Private,109339.0, 11th,7.0, Divorced, Machine-op-inspct, Unmarried, Female,0.0,0.0,46.0, Puerto-Rico,0.0
26.0, Private,193304.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States,0.0
58.0, Private,, HS-grad,, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,0.0,40.0, United-States,0.0
53.0, Local-gov,207449.0, 10th,6.0, Married-civ-spouse, Other-service,, Male,0.0,0.0,40.0,,0.0
17.0, Private,95079.0, 11th,7.0, Never-married, Sales, Own-child, Female,0.0,0.0,15.0, United-States,0.0
28.0, Private,132078.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, Female,0.0,0.0,40.0,,0.0
47.0, Federal-gov,402975.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband,,0.0,0.0,40.0, United-States,1.0
37.0, Private,130200.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,70.0, United-States,1.0
68.0, ?,150250.0, Masters,14.0, Married-civ-spouse, ?, Husband, Male,0.0,1510.0,30.0, United-States,0.0
26.0, Private,102420.0, Bachelors,, Never-married,, Not-in-family, Female,0.0,0.0,40.0, South,0.0
27.0, Private,150767.0, Some-college,10.0, Never-married, Machine-op-inspct, Own-child, Male,0.0,0.0,48.0, United-States,0.0
55.0, Private,387569.0, HS-grad,9.0, Married-civ-spouse,,, Male,4386.0,0.0,40.0, United-States,0.0
40.0, Private,91355.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, Female,0.0,0.0,40.0, United-States,0.0
76.0, Self-emp-not-inc,413699.0, 7th-8th,4.0, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,0.0,28.0, United-States,0.0
44.0, Local-gov,124924.0, Assoc-voc,11.0, Never-married, Craft-repair, Not-in-family, Male,0.0,0.0,44.0, United-States,0.0
32.0, Private,341954.0, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, Male,0.0,1741.0,45.0, ?,0.0
56.0, Private,68080.0, HS-grad,9.0, Never-married, Farming-fishing, Not-in-family, Male,0.0,0.0,50.0, ?,0.0
48.0, Self-emp-not-inc,121124.0, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,35.0, United-States,0.0
61.0, ?,161279.0, HS-grad,9.0, Widowed,, Not-in-family, Female,0.0,0.0,36.0,,0.0
21.0, Private,292264.0, HS-grad,9.0, Never-married,, Not-in-family, Male,,0.0,35.0, United-States,0.0
54.0, Private,178839.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,1848.0,40.0, England,1.0
36.0, Local-gov,, HS-grad,9.0, Divorced, Adm-clerical,, Female,0.0,0.0,40.0, United-States,0.0
, Private,124963.0, Assoc-acdm,12.0, Married-civ-spouse, Sales,, Male,0.0,0.0,50.0, United-States,1.0
61.0, Private,231323.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,,40.0, United-States,0.0
31.0, Private,190772.0, Bachelors,13.0, Never-married, Exec-managerial, Own-child, Female,0.0,1590.0,35.0, ?,0.0
47.0, ?,308242.0, HS-grad,9.0, Married-civ-spouse, ?, Husband,,0.0,0.0,40.0, United-States,0.0
36.0, Private,86143.0, Assoc-voc,11.0, Never-married, Craft-repair, Own-child, Male,0.0,0.0,40.0, United-States,0.0
31.0, Private,169269.0, 7th-8th,4.0, Never-married, Craft-repair, Unmarried, Male,0.0,0.0,40.0, United-States,0.0
21.0, Private,, HS-grad,9.0, Never-married, Machine-op-inspct, Own-child, Male,2176.0,0.0,40.0, United-States,0.0
50.0, Self-emp-not-inc,213279.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,50.0, United-States,1.0
